version	upstream_sha	upstream_file	include_line	directive	include_token	include_syntax	active_branch_path	resolution_kind	resolved_source	source_unit	dependency_unit	correspondence_owner	correspondence_evidence	mapping_status	translation_status	translation_disposition	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	decoders/include/rive/decoders/astc_footprints.hpp	8	include	cstdint	angle	(!defined(_RIVE_ASTC_FOOTPRINTS_HPP_))	toolchain-header	toolchain:cstdint	generic-astc-footprints	-	toolchain:cstdint	toolchain:cstdint	prepared	verified	toolchain-provided	cpp:decoders/include/rive/decoders/astc_footprints.hpp:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	8	include	rive/renderer.hpp	quote	(!defined(_RIVE_FACTORY_HPP_))	campaign-source	include/rive/renderer.hpp	generic-factory-contract	generic-renderer-contract	-	-	prepared	verified	required-source-edge	cpp:include/rive/factory.hpp:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	9	include	rive/text_engine.hpp	quote	(!defined(_RIVE_FACTORY_HPP_))	upstream-global-source	include/rive/text_engine.hpp	generic-factory-contract	existing-rust:crates/nuxie-runtime/src/text.rs	crates/nuxie-runtime/src/text.rs	rust:crates/nuxie-runtime/src/text.rs:1-6377	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/factory.hpp:9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	10	include	rive/audio/audio_source.hpp	quote	(!defined(_RIVE_FACTORY_HPP_))	upstream-global-source	include/rive/audio/audio_source.hpp	generic-factory-contract	existing-rust:crates/nuxie-runtime/src/assets/audio_asset.rs	crates/nuxie-runtime/src/assets/audio_asset.rs	rust:crates/nuxie-runtime/src/assets/audio_asset.rs:1-102	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/factory.hpp:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	11	include	rive/refcnt.hpp	quote	(!defined(_RIVE_FACTORY_HPP_))	campaign-source	include/rive/refcnt.hpp	generic-factory-contract	generic-refcnt	-	-	prepared	verified	required-source-edge	cpp:include/rive/factory.hpp:11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	12	include	rive/span.hpp	quote	(!defined(_RIVE_FACTORY_HPP_))	upstream-global-source	include/rive/span.hpp	generic-factory-contract	existing-rust:crates/nuxie-renderer/src/lib.rs	crates/nuxie-renderer/src/lib.rs	rust:crates/nuxie-renderer/src/lib.rs:1-26858	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/factory.hpp:12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	13	include	rive/math/aabb.hpp	quote	(!defined(_RIVE_FACTORY_HPP_))	upstream-global-source	include/rive/math/aabb.hpp	generic-factory-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-complete	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/factory.hpp:13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	15	include	stdio.h	angle	(!defined(_RIVE_FACTORY_HPP_))	toolchain-header	toolchain:stdio.h	generic-factory-contract	-	toolchain:stdio.h	toolchain:stdio.h	prepared	verified	toolchain-provided	cpp:include/rive/factory.hpp:15
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	16	include	cstdint	angle	(!defined(_RIVE_FACTORY_HPP_))	toolchain-header	toolchain:cstdint	generic-factory-contract	-	toolchain:cstdint	toolchain:cstdint	prepared	verified	toolchain-provided	cpp:include/rive/factory.hpp:16
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/gpu_texture_format.hpp	3	include	cstdint	angle	all	toolchain-header	toolchain:cstdint	generic-gpu-texture-format	-	toolchain:cstdint	toolchain:cstdint	prepared	verified	toolchain-provided	cpp:include/rive/gpu_texture_format.hpp:3
