campaign	source_path	line	event_class	matched_token	source_evidence	ownership_unit	review_status
vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	24	destruction-or-release	~DescriptorPoolGeneration(	~DescriptorPoolGeneration();	vulkan:ore:context	review-required
vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	86	construction-or-allocation	Make	static std::unique_ptr<ContextVulkan> Make(	vulkan:ore:context	review-required
vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	89	destruction-or-release	~ContextVulkan(	~ContextVulkan() override;	vulkan:ore:context	review-required
vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	108	synchronization-or-submission	waitForGPU	void waitForGPU() override;	vulkan:ore:context	review-required
vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	123	destruction-or-release	delete	ContextVulkan(const ContextVulkan&) = delete;	vulkan:ore:context	review-required
vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	124	destruction-or-release	delete	ContextVulkan& operator=(const ContextVulkan&) = delete;	vulkan:ore:context	review-required
vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	195	construction-or-allocation	newLayout	VkImageLayout newLayout;	vulkan:ore:context	review-required
vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	206	construction-or-allocation	newLayout	VkImageLayout newLayout);	vulkan:ore:context	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	40	construction-or-allocation	MakeContext	static std::unique_ptr<RenderContext> MakeContext(VkInstance,	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	47	construction-or-allocation	MakeContext	static std::unique_ptr<RenderContext> MakeContext(	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	54	construction-or-allocation	MakeContext	return MakeContext(instance,	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	62	destruction-or-release	~RenderContextVulkanImpl(	~RenderContextVulkanImpl();	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	118	synchronization-or-submission	waitForAsyncPipelineCreation	void waitForAsyncPipelineCreation();	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	140	failure-or-loss	assert	assert(m_buffer == nullptr); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	143	mapping-or-host-visibility	map	void* map##Name(size_t mapSizeInBytes) override \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	143	mapping-or-host-visibility	mapSizeInBytes	void* map##Name(size_t mapSizeInBytes) override \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	145	failure-or-loss	assert	assert(m_buffer != nullptr); \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	148	mapping-or-host-visibility	mapSizeInBytes	void unmap##Name(size_t mapSizeInBytes) override \	vulkan:renderer:render_context_vulkan_impl	review-required
vulkan	renderer/include/rive/renderer/vulkan/render_context_vulkan_impl.hpp	148	mapping-or-host-visibility	unmap	void unmap##Name(size_t mapSizeInBytes) override \	vulkan:renderer:render_context_vulkan_impl	review-required
