id	actual_rust_callsites	execution_path	ownership_class	expected_phase_sequence	multiplicity	handle_identity_relation	predecessor_reverse_order_constraints	exact_failure_ordinal	required_non_synthetic_probe	current_missing_ids_or_events
RC-ERR-PIPE	make_pipeline_state; ObjectCreation.error_owner	construct ColorRampPipeline/TessellatePipeline/FeatherAtlasPipeline/DrawPipeline with newRenderPipelineState error	strong NSError out-local	Create>LastUse(log)>Release	1 per pipeline-state attempt	error identity stable through log; independent from returned state	Release before descriptor local on helper return	pipeline_state_attempt#1_error_out	actual call_with_error returning object+error, nil+error, object+nil; observe native weak owner	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-STATE-PIPE	make_pipeline_state and each simple pipeline constructor	canonical RenderContextMetal::new plus lazy resize_feather	returned +1 transferred to canonical member	Create>Transfer>Release(member_drop)	color 1+tess 1+feather 0_or_2	Create handle equals Transfer alias/native pointer; member owner keeps same native identity	Transfer precedes descriptor Release; final member release follows derived reverse member order	pipeline_state_attempt#1_object	actual constructors then exact owner Drop; fail state creation at each constructor occurrence	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-PD-COLOR	ColorRampPipeline::color_ramp	RenderContextMetal::new successful metallib path	strong lexical descriptor	Create>LastUse(state_create)>Release	1	same descriptor handle all setters/state call/release	FN-V release<FN-F release<ATT release<state transfer<PD release	color_pipeline#1_descriptor_alloc	actual ColorRampPipeline constructor success and each creation failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-FN-COLOR-V	ColorRampPipeline::color_ramp	RenderContextMetal::new color pipeline	new-family strong full-expression	Create>LastUse(setVertexFunction)>Release	1	same function handle; descriptor property retain is separate hidden native retain	Release before fragment Create and descriptor Release	color_pipeline#2_new_vertex_function	fail real newFunctionWithName vertex call and observe descriptor remains valid	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-FN-COLOR-F	ColorRampPipeline::color_ramp	RenderContextMetal::new color pipeline	new-family strong full-expression	Create>LastUse(setFragmentFunction)>Release	1	same function handle	Release before attachment borrow and descriptor Release	color_pipeline#3_new_fragment_function	fail real fragment newFunctionWithName	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ATT-COLOR-0	pipeline_attachment in ColorRampPipeline	RenderContextMetal::new color pipeline	descriptor-owned +0 borrowed child	Borrow>LastUse(setPixelFormat)>AliasEnd	1	child parent identity=PD-COLOR; no independent native retain	AliasEnd before state creation; parent remains live	color_pipeline#4_colorAttachmentAtIndex	actual child accessor with parent invalidation/retain-count observation	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-PD-TESS	TessellatePipeline::new	RenderContextMetal::new successful metallib path	strong lexical descriptor	Create>LastUse(state_create)>Release	1	same descriptor	FN-V release<FN-F release<ATT release<state transfer<PD release	tess_pipeline#1_descriptor_alloc	actual TessellatePipeline constructor and real failpoints	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-FN-TESS-V	TessellatePipeline::new	RenderContextMetal::new tess pipeline	new-family strong full-expression	Create>LastUse(setVertexFunction)>Release	1	same handle	Release before fragment Create	tess_pipeline#2_new_vertex_function	actual newFunctionWithName failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-FN-TESS-F	TessellatePipeline::new	RenderContextMetal::new tess pipeline	new-family strong full-expression	Create>LastUse(setFragmentFunction)>Release	1	same handle	Release before attachment borrow	tess_pipeline#3_new_fragment_function	actual newFunctionWithName failure	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
RC-ATT-TESS-0	pipeline_attachment in TessellatePipeline	RenderContextMetal::new tess pipeline	descriptor-owned +0 borrowed child	Borrow>LastUse(setPixelFormat)>AliasEnd	1	child parent=PD-TESS; zero retain delta	AliasEnd before state call; parent remains live	tess_pipeline#4_colorAttachmentAtIndex	actual accessor and parent retirement invalidation	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
