version	upstream_sha	upstream_file	source_role	rust_owners	translation_unit	translation_target	field_coverage	mapping_status	translation_status	remaining	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	Defines the debug/release, Apple-family, unreachable, fallthrough, inline-copy, and assertion conventions inherited by every pinned renderer source.	crates/nuxie-renderer/src/lib.rs;crates/nuxie-renderer/src/native_metal/mod.rs	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	state-free	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:include/rive/rive_types.hpp:15-137;rust:crates/nuxie-renderer/src/lib.rs:1-26858;rust:crates/nuxie-renderer/src/native_metal/mod.rs:1-3413
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	Defines the intrusive atomic RefCnt owner and rcp retain, release, conversion, transfer, equality, and hashing operations inherited by renderer buffers, images, textures, targets, and canvases.	crates/nuxie-renderer/src/native_metal/mod.rs;crates/nuxie-ore-metal/src/gpu_resource.rs	generic-refcnt	crates/nuxie-renderer/src/mechanical_port/source/include/rive/refcnt_hpp.rs	fields:2	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/include/rive/refcnt_hpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:include/rive/refcnt.hpp:24-249;rust:crates/nuxie-renderer/src/native_metal/mod.rs:100-3413;rust:crates/nuxie-renderer/src/native_metal/mod.rs:328-3413;rust:crates/nuxie-ore-metal/src/gpu_resource.rs:850-1264
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/utils/lite_rtti.hpp	Defines the stored most-derived type identity and checked pointer or rcp downcasts inherited by generic renderer buffers, images, shaders, paints, and paths.	crates/nuxie-render-api/src/lib.rs;crates/nuxie-renderer/src/native_metal/buffer.rs	generic-lite-rtti	crates/nuxie-renderer/src/mechanical_port/source/include/utils/lite_rtti_hpp.rs	fields:1	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/include/utils/lite_rtti_hpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:include/utils/lite_rtti.hpp:20-93;rust:crates/nuxie-render-api/src/lib.rs:874-4934;rust:crates/nuxie-render-api/src/lib.rs:1685-4934;rust:crates/nuxie-renderer/src/native_metal/buffer.rs:160-399
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	Declares computeAlignment, the complete RenderBuffer state machine, shader, paint, image, path, and renderer interfaces, their lite-RTTI/refcount inheritance, and Emscripten-only image delegation.	crates/nuxie-render-api/src/lib.rs;crates/nuxie-renderer/src/native_metal/buffer.rs	generic-renderer-contract	crates/nuxie-renderer/src/mechanical_port/source/include/rive/renderer_hpp.rs	fields:10	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/include/rive/renderer_hpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:include/rive/renderer.hpp:24-246;rust:crates/nuxie-render-api/src/lib.rs:820-4934;rust:crates/nuxie-render-api/src/lib.rs:1685-4934;rust:crates/nuxie-renderer/src/native_metal/buffer.rs:34-399
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	src/renderer.cpp	Implements computeAlignment, Renderer transform helpers, RenderBuffer map/unmap dirt, generic renderer object construction, whitespace classification, and the complete debug-sensitive Font shapeText fallback in source order.	crates/nuxie-render-api/src/lib.rs;crates/nuxie-renderer/src/native_metal/buffer.rs;crates/nuxie-runtime/src/text.rs	generic-renderer-implementation	crates/nuxie-renderer/src/mechanical_port/source/src/renderer_cpp.rs	state-free	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/src/renderer_cpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:src/renderer.cpp:7-234;rust:crates/nuxie-render-api/src/lib.rs:874-4934;rust:crates/nuxie-renderer/src/native_metal/buffer.rs:102-399;rust:crates/nuxie-runtime/src/text.rs:5645-6377
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/gpu_texture_format.hpp	Defines the complete GPU-uploadable texture-format discriminants shared by decoder output and RenderContextImpl image upload.	crates/nuxie-renderer/src/native_metal/image_texture.rs	generic-gpu-texture-format	crates/nuxie-renderer/src/mechanical_port/source/include/rive/gpu_texture_format_hpp.rs	state-free	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/include/rive/gpu_texture_format_hpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:include/rive/gpu_texture_format.hpp:8-23;rust:crates/nuxie-renderer/src/native_metal/image_texture.rs:31-595
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/shapes/paint/image_sampler.hpp	Defines image filter/wrap discriminants, the 18-key sampler encoding, inverse key decoding, and the canonical linear-clamp value consumed by Metal draws.	crates/nuxie-render-api/src/lib.rs;crates/nuxie-renderer/src/native_metal/samplers.rs	generic-image-sampler	crates/nuxie-renderer/src/mechanical_port/source/include/rive/shapes/paint/image_sampler_hpp.rs	fields:3	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/include/rive/shapes/paint/image_sampler_hpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:include/rive/shapes/paint/image_sampler.hpp:8-97;rust:crates/nuxie-render-api/src/lib.rs:820-4934;rust:crates/nuxie-renderer/src/native_metal/samplers.rs:18-221
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	decoders/include/rive/decoders/astc_footprints.hpp	Defines the canonical ASTC footprint order and footprint-to-pixel-format index used by Metal image uploads.	crates/nuxie-renderer/src/native_metal/image_texture.rs	generic-astc-footprints	crates/nuxie-renderer/src/mechanical_port/source/decoders/include/rive/decoders/astc_footprints_hpp.rs	fields:2	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/decoders/include/rive/decoders/astc_footprints_hpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:decoders/include/rive/decoders/astc_footprints.hpp:10-61;rust:crates/nuxie-renderer/src/native_metal/image_texture.rs:41-595;rust:crates/nuxie-renderer/src/native_metal/image_texture.rs:387-595
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	Defines the complete shared renderer ABI: geometry and packing layouts, constants, PlatformFeatures, draw/interlock/shader/barrier state, FlushDescriptor, mapped-memory writers, texture sizing, pipeline state, half conversion, and feather LUT contracts consumed by Metal.	crates/nuxie-renderer/src/gpu.rs;crates/nuxie-renderer/src/native_metal/capabilities.rs;crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs;crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	generic-gpu-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/gpu_hpp.rs	fields:208	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/gpu_hpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:renderer/include/rive/renderer/gpu.hpp:41-2017;rust:crates/nuxie-renderer/src/gpu.rs:17-1066;rust:crates/nuxie-renderer/src/native_metal/capabilities.rs:5-315;rust:crates/nuxie-renderer/src/native_metal/shader_compile_plan.rs:13-1303;rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:14-1367
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/gpu.cpp	Implements the complete shared GPU algorithms: draw/shader permutations and keys, patch generation, data packing, FlushUniforms and mapped record writers, storage texture sizing, full pipeline-state derivation, half conversion, and optional feather LUT generation.	crates/nuxie-renderer/src/gpu.rs;crates/nuxie-renderer/src/native_metal/draw_combinations.rs;crates/nuxie-renderer/src/native_metal/pipeline_cache.rs;crates/nuxie-renderer/src/native_metal/pipeline_names.rs	generic-gpu-implementation	crates/nuxie-renderer/src/mechanical_port/source/renderer/src/gpu_cpp.rs	state-free	prepared	verified	Translate the complete pinned source mechanically into crates/nuxie-renderer/src/mechanical_port/source/renderer/src/gpu_cpp.rs; current split Rust owners are correspondence evidence only, not a whole-file translation receipt.	cpp:renderer/src/gpu.cpp:18-2185;rust:crates/nuxie-renderer/src/gpu.rs:288-1066;rust:crates/nuxie-renderer/src/native_metal/draw_combinations.rs:1-494;rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:180-1367;rust:crates/nuxie-renderer/src/native_metal/pipeline_names.rs:1-181
