version	upstream_sha	upstream_file	block	lines	branch_lines	configurations	source_behavior	rust_owner	rust_configuration	mapping_status	translation_status	translation_disposition	validation_disposition	exclusion_reason	remaining	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	objc-metal-import	13-15	13	RIVE_OBJC_NOP	Imports Metal protocol declarations unless Objective-C symbols are replaced by no-op declarations.	crates/nuxie-renderer/src/native_metal/mod.rs	Apple-only native_metal module compilation supplies objc2-metal declarations; non-Apple builds exclude the implementation.	prepared	verified	required	compile-link-only	-	Prove the portable header-consumer configuration in V1.	rust:crates/nuxie-renderer/src/native_metal/mod.rs:1-30
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	context-tools-failure-field	106-109	106	WITH_RIVE_TOOLS	Adds the inert context-level synthesizedFailureType field with a none default.	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	NativeMetalContextOptions stores the exact typed value with None as default; cache selection ignores it and only explicitly authored per-flush requests inject failures.	prepared	verified	required	executable	-	Keep the context option inert while translating the complete FlushDescriptor tools seam; no context-level behavior may be invented.	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:106-109;rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:42-70;rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:1089-1110
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	rive-canvas-api	155-159	155	RIVE_CANVAS	Declares RenderCanvas construction and an ORE context made from the renderer device and command queue.	crates/nuxie-renderer/src/native_metal/mod.rs	One source-equivalent canvas feature must gate the existing render_canvas owner, both factory/context makeRenderCanvas methods, and makeOreContext together; the ORE owner retains the exact renderer device and queue.	prepared	verified	required	executable	-	Unify the existing bodies behind one RIVE_CANVAS-equivalent feature and prove feature-off absence plus feature-on same-service ownership.	rust:crates/nuxie-renderer/src/native_metal/mod.rs:328-339;rust:crates/nuxie-renderer/src/native_metal/render_canvas.rs:21-88
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	rive-canvas-includes	11-14	11	RIVE_CANVAS	Includes the RenderCanvas and ORE Metal implementation only for canvas builds.	crates/nuxie-renderer/Cargo.toml	A single RIVE_CANVAS-equivalent feature includes both the same-texture RenderCanvas owner and ORE Metal implementation; disabling it compiles neither owner.	prepared	verified	required	executable	-	Replace the current ORE-only dependency gate and always-compiled render_canvas module with the paired source-equivalent gate.	rust:crates/nuxie-renderer/Cargo.toml:15-20;rust:crates/nuxie-renderer/src/native_metal/render_canvas.rs:1-30
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	ios-simulator-host-architecture	23-25	23	RIVE_IOS_SIMULATOR	Imports Mach architecture inspection for selecting the simulator atomic barrier policy.	crates/nuxie-renderer/src/native_metal/mod.rs	The build selects IosSimulator with host_is_arm64 from the Rust compilation target.	prepared	verified	required	executable	-	Run the simulator configuration check in V1 and the Apple-Silicon simulator policy test in V7.	rust:crates/nuxie-renderer/src/native_metal/mod.rs:2540-2555
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	platform-metallib-include	29-43	29,31,33,35,37,39,41	RIVE_IOS|RIVE_IOS_SIMULATOR|RIVE_XROS|RIVE_XROS_SIMULATOR|RIVE_APPLETVOS|RIVE_APPLETVOS_SIMULATOR|macOS	Selects the exact embedded draw metallib object for each Apple device or simulator platform.	crates/nuxie-renderer/src/native_metal/draw_shader.rs	A seven-way build-target owner maps iOS device/simulator, visionOS device/simulator, tvOS device/simulator, and macOS to iphoneos, iphonesimulator, xros, xrsimulator, appletvos, appletvsimulator, and macosx artifacts.	prepared	verified	required	executable	-	Translate the missing build branches and verify one exact draw metallib artifact per Apple target.	rust:crates/nuxie-renderer/src/native_metal/draw_shader.rs:25-29;rust:crates/nuxie-renderer/build.rs:1-40
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	draw-pipeline-tools-parameter	271-274	271	WITH_RIVE_TOOLS	Adds a per-pipeline synthesized failure parameter to DrawPipeline construction.	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	PipelineLookup carries a typed per-request failure injection into durable cache realization.	prepared	verified	required	executable	-	Keep this independent from the inert context-level tools field.	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:59-77
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	pipeline-creation-failure	284-290	284	WITH_RIVE_TOOLS	Returns an unavailable pipeline pair when pipelineCreation failure is synthesized.	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	PipelineCreation becomes a durable failed cache slot and participates in source fallback selection.	prepared	verified	required	executable	-	Retain exact current-request failure routing while translating the remaining draw families.	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:59-77;rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:780-810
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	apple-silicon-device-helper	403-412	403	RIVE_IOS|RIVE_XROS|RIVE_APPLETVOS	Defines Apple-family detection for physical iOS, visionOS, and tvOS devices.	crates/nuxie-renderer/src/native_metal/capabilities.rs	ApplePlatform gains IosDevice, XrosDevice, and AppleTvOsDevice variants whose is_apple_silicon value comes from supportsFamily(Apple4); simulators and macOS do not call this helper.	prepared	verified	required	executable	-	Add the four missing visionOS/tvOS variants and derive the physical-device predicate from the retained Metal device.	rust:crates/nuxie-renderer/src/native_metal/capabilities.rs:7-20
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	platform-render-modes	480-501	480,490,496	RIVE_IOS|RIVE_XROS|RIVE_APPLETVOS|simulators|macOS	Selects raster ordering, atomics, and path-ID granularity separately for physical devices, simulators, and macOS with disableFramebufferReads.	crates/nuxie-renderer/src/native_metal/capabilities.rs	Physical mobile targets select raster ordering, no atomics, and path granularity 1 on Apple4 else 8; all mobile simulators select atomics with granularity 1; macOS retains Apple1 plus disableFramebufferReads policy.	prepared	verified	required	executable	-	Implement the source-shaped seven-way ApplePlatform predicates and pin every branch.	rust:crates/nuxie-renderer/src/native_metal/capabilities.rs:45-64
